customer_id,tenure_months,monthly_charges,contract,support_calls,payment_method,churned
C10000,12,58.84,Month-to-month,1,Auto-pay,0
C10001,63,88.78,Month-to-month,3,Auto-pay,0
C10002,49,70.12,Month-to-month,2,Auto-pay,0
C10003,39,52.95,One year,2,Auto-pay,0
C10004,20,103.82,Month-to-month,1,Auto-pay,1
C10005,38,79.67,One year,0,Auto-pay,0
C10006,45,90.33,One year,2,Auto-pay,0
C10007,51,42.07,Month-to-month,2,Manual,0
C10008,7,59.41,Two year,3,Auto-pay,1
C10009,62,99.6,One year,2,Auto-pay,0
C10010,39,66.58,Two year,4,Auto-pay,0
C10011,26,68.31,One year,3,Auto-pay,0
C10012,52,43.17,One year,3,Auto-pay,0
C10013,39,80.91,Month-to-month,0,Auto-pay,0
C10014,23,42.63,Month-to-month,2,Auto-pay,0
C10015,65,85.97,Month-to-month,0,Manual,0
C10016,66,45.21,One year,2,Auto-pay,0
C10017,65,68.72,One year,1,Manual,0
C10018,6,122.25,Month-to-month,2,Auto-pay,0
C10019,66,85.97,Month-to-month,3,Manual,0
C10020,19,64.61,Month-to-month,2,Auto-pay,1
C10021,25,100.7,Month-to-month,1,Auto-pay,0
C10022,49,53.3,One year,0,Manual,0
C10023,34,45.41,Month-to-month,3,Manual,0
C10024,59,64.06,Month-to-month,2,Manual,0
C10025,48,107.96,Month-to-month,3,Manual,1
C10026,9,106.27,Two year,4,Auto-pay,0
C10027,10,60.1,Month-to-month,1,Auto-pay,1
C10028,8,66.48,Two year,1,Auto-pay,1
C10029,24,87.61,Month-to-month,1,Manual,0
C10030,34,147.85,Month-to-month,4,Auto-pay,1
C10031,63,67.87,Month-to-month,1,Manual,0
C10032,25,116.48,Month-to-month,1,Manual,1
C10033,7,82.48,Month-to-month,0,Auto-pay,0
C10034,40,100.6,Two year,3,Auto-pay,0
C10035,30,105.41,Two year,1,Auto-pay,0
C10036,60,80.28,One year,0,Auto-pay,0
C10037,3,74.15,Month-to-month,0,Manual,1
C10038,21,68.78,Month-to-month,4,Manual,0
