order_id,order_date,region,segment,category,sub_category,quantity,discount,sales,profit
ORD-104388,2023-01-01,Abu Dhabi,Consumer,Technology,Phones,5,0.0,3027.13,484.34
ORD-105038,2023-01-01,Abu Dhabi,Consumer,Furniture,Tables,1,0.2,474.35,75.9
ORD-104501,2023-01-01,Sharjah,SMB,Furniture,Storage,8,0.3,3817.29,381.73
ORD-105288,2023-01-01,Abu Dhabi,SMB,Office Supplies,Storage,8,0.0,499.1,209.62
ORD-100382,2023-01-01,Dubai,SMB,Technology,Phones,2,0.1,1196.19,119.62
ORD-101623,2023-01-01,Dubai,Consumer,Furniture,Storage,6,0.0,3083.61,863.41
ORD-103129,2023-01-01,Sharjah,Consumer,Office Supplies,Binders,1,0.0,40.5,17.01
ORD-103496,2023-01-02,Dubai,SMB,Office Supplies,Pens,2,0.1,62.77,22.6
ORD-103375,2023-01-02,Northern Emirates,Consumer,Furniture,Storage,6,0.1,2427.18,533.98
ORD-103174,2023-01-02,Northern Emirates,SMB,Furniture,Bookcases,2,0.0,651.49,182.42
ORD-103109,2023-01-02,Abu Dhabi,Consumer,Office Supplies,Storage,1,0.15,17.19,5.67
ORD-104444,2023-01-02,Abu Dhabi,Corporate,Technology,Accessories,2,0.0,1374.7,219.95
ORD-103193,2023-01-02,Dubai,Consumer,Furniture,Tables,5,0.1,3577.57,787.07
ORD-102991,2023-01-02,Dubai,Consumer,Furniture,Storage,5,0.0,2138.29,598.72
ORD-102171,2023-01-02,Dubai,Consumer,Office Supplies,Paper,8,0.0,648.02,272.17
ORD-103946,2023-01-02,Abu Dhabi,Corporate,Technology,Phones,6,0.1,4811.25,481.12
ORD-101032,2023-01-02,Abu Dhabi,SMB,Office Supplies,Paper,5,0.1,237.83,85.62
ORD-105193,2023-01-02,Sharjah,Consumer,Office Supplies,Paper,3,0.0,174.34,73.22
ORD-100270,2023-01-03,Sharjah,SMB,Technology,Monitors,1,0.0,722.87,115.66
ORD-101630,2023-01-03,Abu Dhabi,SMB,Technology,Monitors,3,0.0,2037.85,326.06
ORD-104692,2023-01-03,Dubai,Consumer,Technology,Accessories,6,0.15,3808.44,266.59
ORD-101269,2023-01-03,Dubai,Corporate,Office Supplies,Pens,4,0.1,142.07,51.15
ORD-102244,2023-01-03,Abu Dhabi,SMB,Office Supplies,Paper,2,0.0,99.15,41.64
ORD-104599,2023-01-03,Dubai,Consumer,Furniture,Bookcases,5,0.0,2590.35,725.3
ORD-101989,2023-01-03,Dubai,Consumer,Furniture,Bookcases,4,0.0,1514.51,424.06
ORD-102246,2023-01-04,Northern Emirates,Consumer,Technology,Accessories,3,0.0,1011.94,161.91
ORD-103447,2023-01-04,Abu Dhabi,Consumer,Furniture,Bookcases,2,0.0,1079.41,302.23
ORD-105151,2023-01-04,Dubai,Corporate,Office Supplies,Storage,4,0.15,73.67,24.31
ORD-105323,2023-01-04,Sharjah,Consumer,Technology,Laptops,8,0.3,8475.75,-169.51
ORD-100212,2023-01-04,Abu Dhabi,Consumer,Office Supplies,Pens,6,0.2,184.48,55.34
ORD-104944,2023-01-05,Sharjah,Consumer,Office Supplies,Pens,4,0.3,138.16,33.16
ORD-101711,2023-01-05,Sharjah,Corporate,Furniture,Bookcases,3,0.0,775.38,217.11
ORD-100023,2023-01-05,Dubai,SMB,Office Supplies,Pens,4,0.0,212.27,89.15
ORD-101942,2023-01-05,Dubai,Consumer,Office Supplies,Paper,7,0.2,197.2,59.16
ORD-104717,2023-01-05,Abu Dhabi,Consumer,Technology,Monitors,2,0.1,1054.75,105.48
ORD-103698,2023-01-05,Sharjah,Consumer,Furniture,Chairs,2,0.15,1641.46,311.88
ORD-100994,2023-01-05,Abu Dhabi,Corporate,Office Supplies,Paper,4,0.0,198.83,83.51
ORD-103636,2023-01-06,Dubai,Corporate,Furniture,Chairs,3,0.0,935.63,261.98
ORD-103241,2023-01-06,Dubai,Consumer,Office Supplies,Storage,5,0.3,268.85,64.52
ORD-102557,2023-01-06,Abu Dhabi,Corporate,Office Supplies,Storage,3,0.3,51.59,12.38
ORD-100717,2023-01-06,Abu Dhabi,SMB,Office Supplies,Storage,8,0.15,450.81,148.77
ORD-103641,2023-01-06,Abu Dhabi,SMB,Technology,Monitors,2,0.2,1726.48,69.06
ORD-100644,2023-01-06,Dubai,SMB,Office Supplies,Pens,7,0.0,310.63,130.46
ORD-105250,2023-01-06,Dubai,Corporate,Office Supplies,Binders,7,0.1,416.43,149.91
ORD-100543,2023-01-06,Sharjah,SMB,Office Supplies,Paper,1,0.0,41.18,17.3
ORD-103135,2023-01-06,Abu Dhabi,Consumer,Office Supplies,Pens,7,0.0,326.06,136.95
ORD-102245,2023-01-06,Dubai,Consumer,Office Supplies,Paper,1,0.2,28.38,8.51
ORD-103674,2023-01-06,Dubai,Consumer,Technology,Laptops,1,0.0,684.31,109.49
ORD-101927,2023-01-06,Sharjah,Corporate,Technology,Monitors,2,0.0,1174.07,187.85
ORD-104207,2023-01-06,Abu Dhabi,Consumer,Technology,Laptops,3,0.1,1488.4,148.84
ORD-105518,2023-01-06,Sharjah,Consumer,Technology,Monitors,3,0.0,727.89,116.46
ORD-105602,2023-01-06,Dubai,Consumer,Technology,Phones,7,0.0,7024.47,1123.92
ORD-102072,2023-01-06,Dubai,Corporate,Technology,Laptops,3,0.2,2439.67,97.59
